feature,importance,abs_importance
cat__checking_status_no checking,0.11498116109334672,0.11498116109334672
num__duration,0.09838656590233662,0.09838656590233662
num__credit_amount,0.09161073918887669,0.09161073918887669
cat__checking_status_<0,0.0672676001167008,0.0672676001167008
num__age,0.061851029186471077,0.061851029186471077
cat__credit_history_critical/other existing credit,0.054764263445591405,0.054764263445591405
cat__savings_status_<100,0.03157711049679558,0.03157711049679558
num__installment_commitment,0.03114718893201946,0.03114718893201946
cat__other_payment_plans_bank,0.02634382397761624,0.02634382397761624
cat__checking_status_0<=X<200,0.025130103348093846,0.025130103348093846
num__residence_since,0.02225283031484601,0.02225283031484601
cat__other_payment_plans_none,0.021032866391224984,0.021032866391224984
cat__personal_status_male single,0.01875151124702584,0.01875151124702584
cat__property_magnitude_real estate,0.017763750573639048,0.017763750573639048
cat__employment_<1,0.016565220990956996,0.016565220990956996
cat__job_skilled,0.01584903132761325,0.01584903132761325
cat__purpose_radio/tv,0.01491148846098203,0.01491148846098203
cat__own_telephone_none,0.01376526857557612,0.01376526857557612
cat__credit_history_existing paid,0.013658809437547154,0.013658809437547154
num__existing_credits,0.013206598687016458,0.013206598687016458
cat__purpose_new car,0.013044739489553566,0.013044739489553566
cat__own_telephone_yes,0.012014111988161743,0.012014111988161743
cat__savings_status_no known savings,0.011632692877453605,0.011632692877453605
cat__housing_own,0.011551949990965394,0.011551949990965394
cat__property_magnitude_car,0.011500959137390519,0.011500959137390519
cat__property_magnitude_no known property,0.011414668645389016,0.011414668645389016
cat__personal_status_female div/dep/mar,0.010734300783809918,0.010734300783809918
cat__employment_1<=X<4,0.009687925994781743,0.009687925994781743
cat__purpose_furniture/equipment,0.008979743036477873,0.008979743036477873
cat__purpose_used car,0.008756286397839822,0.008756286397839822
