feature,importance_mean,importance_std
checking_status,0.11138392857142851,0.022612621953049906
savings_status,0.021912202380952338,0.012284618262613414
duration,0.015550595238095244,0.00861787353162357
property_magnitude,0.014304315476190455,0.007388888310307251
employment,0.013020833333333282,0.004563930113982636
credit_history,0.010286458333333304,0.01366549596080987
personal_status,0.00863095238095236,0.006663381584590917
housing,0.008519345238095222,0.003249410227426745
purpose,0.006194196428571397,0.0042872011542162605
age,0.005450148809523769,0.0060378272330751746
job,0.004929315476190443,0.003313153484106566
credit_amount,0.004073660714285698,0.0046765997247248245
other_payment_plans,0.00399925595238092,0.009107082828593389
other_parties,0.002883184523809501,0.0017729774247265005
own_telephone,0.002622767857142827,0.0038728464780913084
foreign_worker,0.002008928571428548,0.0017818348236351333
num_dependents,-0.000111607142857173,0.00107243566260412
installment_commitment,-0.0018415178571428935,0.00488361848506702
existing_credits,-0.00213913690476194,0.0014909988413208002
residence_since,-0.0047619047619048005,0.0016156287760869471
